,Kreis-Id,NDVI,Temperatur,Niederschlagsrate,Bestrahlungsstärke,Stadt,Prognose_dt_ha
0,8115,0.3295693683171429,26796.0,3.875,5240335.125,"      Böblingen, Landkreis",73.13203941995982
1,8115,0.3675261154913107,26872.0,0.0,5360772.0,"      Böblingen, Landkreis",73.13203941995982
2,8115,0.0360009500736367,27632.75,181.875,2004284.875,"      Böblingen, Landkreis",73.10905610962324
3,8115,0.1280805320767451,27876.625,547.625,3497365.75,"      Böblingen, Landkreis",73.13203941995982
4,8115,0.3349696713071819,27836.125,38.25,3679642.0,"      Böblingen, Landkreis",73.13203941995982
5,8115,0.2722572762865894,26957.875,4.625,5160409.625,"      Böblingen, Landkreis",73.13203941995982
6,8115,0.0867324596144911,26942.375,0.375,5294435.125,"      Böblingen, Landkreis",73.13203941995982
7,8115,0.0724634574987447,27289.75,0.0,4790309.5,"      Böblingen, Landkreis",73.13203941995982
8,8115,0.2487694301821856,26999.75,16.5,4698212.125,"      Böblingen, Landkreis",73.13203941995982
9,8115,0.0300369836990329,28021.875,95.875,5128140.25,"      Böblingen, Landkreis",73.10905610962324
10,8115,0.03068711990534,28205.375,415.625,2724154.625,"      Böblingen, Landkreis",73.10905610962324
11,8115,0.2961937024969743,27736.125,1.125,7608003.375,"      Böblingen, Landkreis",73.13203941995982
12,8115,0.1729590146973876,27901.0,55.125,3624349.25,"      Böblingen, Landkreis",73.13203941995982
13,8115,0.4361515658824368,27915.875,32.125,6748456.125,"      Böblingen, Landkreis",73.13203941995982
14,8115,0.0324367003116493,27943.125,23.125,3275066.5,"      Böblingen, Landkreis",73.10905610962324
15,8115,0.0879333825045329,28007.375,469.375,7445298.625,"      Böblingen, Landkreis",73.13203941995982
16,8115,0.3828373361057999,28212.5,26.25,7283534.25,"      Böblingen, Landkreis",73.13203941995982
17,8115,0.1761142068701013,27861.375,118.75,6377008.25,"      Böblingen, Landkreis",73.13203941995982
18,8115,0.4800208193194619,28264.75,0.0,13271092.875,"      Böblingen, Landkreis",73.13203941995982
19,8115,0.4550454315115925,27944.875,48.75,13902199.125,"      Böblingen, Landkreis",73.13203941995982
20,8115,0.0786163244206458,28121.5,490.125,8455078.375,"      Böblingen, Landkreis",73.13203941995982
21,8115,-0.0028125560993254,27704.25,3.625,6338700.375,"      Böblingen, Landkreis",73.10905610962324
22,8115,0.5087204694388986,27822.375,12.625,11298012.875,"      Böblingen, Landkreis",73.13203941995982
